,шанс,чувств,форма,феновет,факта,участва,уважава,треньор,тренировъч,тежък,такава,стойка,стане,срещата,способен,специал,софия,силен,самият,разбир,път,пулев,приятел,пресира,почивк,постижени,помогн,получи,оценява,остан,общо,нокаутира,неприят,необходим,нататъ,направ,найваж,надал,място,моя,миналат,кубрат,край,клей,качеств,карам,каквот,кажа,истинск,интересува,изобщ,играт,земя,здрав,единств,дължи,добри,децата,голям,вярвам,вълнува,взето,вериги,бърз,боксов,бокс,близък,чужбин,чудесно,фокусира,успях,състезател,страхотно,световен,радвам,процес,проблем,предлож,покаже,подобрият,подготвя,подготв,план,обрат,никак,наясно,напоследък,найдоб,мотивир,момчет,млад,клуб,искам,иначе,доказва,докажа,двубой,върха,видим,важен,бързин,Class
0,0.0,0.0,0.21776499211868766,0.19124892467255933,0.0,0.0,0.0,0.0,0.15006571036595162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736153532857748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19124892467255933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07153382630775111,0.0,0.0,0.0,0.10188443830889447,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.06918207218201324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10620951217439263,0.0,0.0,0.0,0.0,0.0,0.0,0.2124190243487853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545136742990513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10620951217439263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06075814474448751,0.0742230368680902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545136742990513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12151628948897505,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12910484302336106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14771126576210672,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2157378591136328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157378591136328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12282462050445085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.07501447334902052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501447334902052,0.0,0.0,0.0,0.0,0.0,0.06734395477582861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08582546207702425,0.042912731038512134,0.0,0.0,0.07501447334902052,0.0,0.0,0.1346879095516572,0.0,0.0,0.0,0.07501447334902052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05242281888916473,0.0,0.0,0.07501447334902052,0.0,0.061394238339707814,0.0,0.0,0.0,0.0,0.07501447334902052,0.0,0.0,0.0,0.08582546207702425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08582546207702425,0.0,0.042912731038512134,0.05242281888916473,0.0,0.0,0.0,0.0,0.0,0.08582546207702425,0.0,0.08582546207702425,0.0,0.12840696924203365,0.08582546207702425,0.0,0.0,0.0,0.08582546207702425,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.12387006896866178,0.0,0.09719610149279327,0.0,0.0,0.0,0.0,0.0,0.12387006896866178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12387006896866178,0.09719610149279327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06193503448433089,0.0,0.0,0.0,0.12387006896866178,0.0,0.0,0.0,0.0815928307739544,0.0,0.12387006896866178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16720923799096865,0.15243660465130654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21309722842818346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036648435174695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325165704489458,0.0,0.0,0.0,0.0,0.20796136044924932,0.09479417544879404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10398068022462467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158241447430225,0.0,0.0,0.0,0.0,0.08094208879672353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325165704489458,0.0,0.0662582852244729,0.0,0.0,0.0,0.0,0.0,0.0,0.1325165704489458,0.0,0.0,0.0,0.04956585951854962,0.1325165704489458,0.0,0.0,0.0,0.0,0.09479417544879404,0.0,0.0,0.0
9,0.0,0.0,0.0,0.12137654357279877,0.0,0.0,0.0,0.0,0.0,0.0,0.0952395275644097,0.0,0.0,0.0,0.0,0.0,0.0,0.0868252877947885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12137654357279877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1060873693271426,0.0,0.0,0.0952395275644097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04539909754074322,0.0,0.0,0.0,0.12932235814619464,0.0,0.0,0.0,0.0,0.0
